transaction_id,customer_id,amount,country,device,merchant_category,failed_logins,new_device,transaction_time,fraud
32,9883,123.11,Germany,MacBook,Gaming,3,0,2026-04-25 23:21:53.589178,0
33,5694,184.87,Mexico,iPhone,Grocery,1,1,2026-04-17 09:49:56.730981,0
34,7811,290.31,USA,Tablet,Restaurant,3,1,2026-04-29 01:00:50.016118,0
35,2321,72.82,USA,MacBook,Grocery,4,1,2026-04-12 14:22:05.003401,0
36,6395,6.94,Singapore,Android,Gaming,4,1,2026-05-03 21:25:47.944338,1
37,9849,70.79,Singapore,Tablet,Electronics,1,0,2026-05-02 02:51:33.313956,0
38,3407,4.44,Germany,iPhone,Grocery,0,1,2026-05-02 11:57:21.488777,0
39,2848,11.96,USA,iPhone,Electronics,0,0,2026-04-26 08:20:10.062915,0
40,4258,15.71,Mexico,iPhone,Gaming,5,1,2026-04-26 16:41:59.389340,1
41,2053,89.71,India,iPhone,Luxury,0,1,2026-05-06 10:08:14.941374,0
42,3534,11.7,Canada,Windows,Grocery,1,0,2026-05-05 10:21:17.438116,0
43,4672,280.97,India,Android,Grocery,4,0,2026-04-16 22:26:04.411260,0
44,8480,43.78,Canada,iPhone,Luxury,4,1,2026-05-04 20:13:10.256326,1
45,9396,1.93,Singapore,Windows,Gaming,4,0,2026-04-26 01:04:48.216373,0
46,2176,240.07,Mexico,Windows,Electronics,3,1,2026-04-08 06:58:37.363856,1
47,1922,247.58,Germany,Android,Luxury,3,1,2026-04-28 00:23:04.272934,1
48,7475,116.53,Mexico,Windows,Grocery,2,0,2026-04-13 06:42:35.180334,1
49,7559,139.38,Germany,Android,Luxury,1,1,2026-04-18 02:17:36.258929,0
50,6438,24.72,Germany,iPhone,Grocery,0,0,2026-05-02 14:52:49.931210,0
51,2952,93.19,Brazil,Android,Grocery,3,1,2026-04-18 22:12:05.177930,1
52,7897,20.7,Canada,Android,Travel,5,0,2026-05-03 10:22:45.981288,0
53,6270,120.51,Canada,Android,Restaurant,1,0,2026-04-13 04:36:17.790840,0
54,2959,151.35,Mexico,Android,Luxury,4,0,2026-04-07 20:38:44.124182,0
55,1963,99.61,Canada,Windows,Electronics,0,0,2026-04-08 01:19:57.187788,0
56,5049,95.47,USA,Tablet,Electronics,2,1,2026-04-07 04:52:42.774576,1
57,9841,132.4,Singapore,iPhone,Restaurant,3,1,2026-04-18 13:29:14.592917,1
58,9825,47.24,Brazil,MacBook,Electronics,4,1,2026-05-03 22:11:31.088969,1
59,4642,42.41,India,Android,Electronics,4,0,2026-04-25 22:59:20.476222,0
60,6106,61.25,UK,MacBook,Luxury,2,0,2026-04-30 03:57:55.573920,0
61,2129,77.54,Singapore,MacBook,Luxury,4,0,2026-04-12 15:12:01.934291,0
62,4508,4.92,USA,Android,Electronics,2,1,2026-04-29 19:11:27.612769,0
63,6583,55.4,Mexico,MacBook,Luxury,2,0,2026-04-28 12:16:19.754907,0
64,1811,61.44,Brazil,Tablet,Restaurant,2,0,2026-04-08 15:38:55.993660,0
65,5902,8.55,Singapore,MacBook,Luxury,2,1,2026-04-23 23:40:59.761100,1
66,5351,1.1,UK,Tablet,Gaming,2,1,2026-04-24 06:47:49.507538,1
67,4707,265.44,Canada,iPhone,Electronics,4,0,2026-04-22 11:56:45.939327,1
68,2050,34.9,Canada,Android,Electronics,5,0,2026-04-17 00:47:18.379121,0
69,1257,106.49,Mexico,MacBook,Electronics,1,1,2026-04-18 23:52:16.691403,1
70,7886,401.56,Canada,Android,Restaurant,1,0,2026-04-23 21:52:42.537813,0
71,7401,124.15,Germany,Tablet,Luxury,4,1,2026-04-10 00:22:42.056524,1
72,9498,48.99,Brazil,MacBook,Luxury,2,1,2026-04-29 11:38:07.270648,0
73,4488,6.13,Brazil,MacBook,Grocery,0,1,2026-04-09 09:14:11.827402,0
74,8172,42.77,Singapore,Android,Travel,1,1,2026-04-30 23:55:59.233222,0
75,6629,193.66,India,Tablet,Travel,3,1,2026-04-10 15:38:10.112080,1
76,6990,37.62,Brazil,Android,Luxury,3,0,2026-04-24 06:03:00.714966,1
77,2910,3.81,Canada,iPhone,Gaming,3,1,2026-04-19 15:32:48.967902,1
78,7068,439.36,USA,iPhone,Travel,3,0,2026-04-23 09:21:01.905170,0
79,8679,82.2,UK,Android,Restaurant,4,1,2026-04-25 18:54:26.304305,1
80,6176,108.43,Canada,Windows,Electronics,4,0,2026-04-22 19:45:19.662631,0
81,3323,8.84,Mexico,iPhone,Travel,2,0,2026-04-16 16:31:16.444191,0
82,9806,25.61,USA,MacBook,Grocery,2,0,2026-04-12 04:51:33.881374,0
83,1308,556.47,USA,Windows,Grocery,5,0,2026-04-15 11:25:20.927973,0
84,9899,10.16,India,Windows,Gaming,4,0,2026-05-06 14:49:56.635369,0
85,4388,27.29,UK,Tablet,Gaming,3,0,2026-04-26 12:47:28.772888,0
86,5146,80.62,Canada,Android,Luxury,2,1,2026-04-24 00:45:28.801633,0
87,4583,123.51,India,Android,Electronics,0,0,2026-05-05 07:32:11.114183,0
88,8347,23.79,Brazil,MacBook,Travel,3,1,2026-05-01 05:55:15.722664,1
89,7959,85.36,Brazil,Windows,Restaurant,4,1,2026-04-21 17:39:52.156138,1
90,2596,179.89,Mexico,iPhone,Restaurant,0,0,2026-04-27 23:39:06.930816,0
91,6140,117.36,Brazil,Tablet,Restaurant,0,0,2026-04-10 11:19:02.953077,0
92,7374,4.68,Germany,Windows,Grocery,3,1,2026-04-19 09:18:32.588213,1
93,7255,79.16,Singapore,Windows,Restaurant,3,0,2026-04-30 15:58:46.493606,1
94,6384,106.79,India,Android,Restaurant,1,0,2026-05-01 22:25:23.942425,0
95,8016,28.84,Brazil,MacBook,Electronics,0,1,2026-05-04 15:24:54.873905,0
96,5583,11.92,Brazil,Android,Grocery,1,1,2026-04-27 00:48:50.149741,0
97,5684,81.45,UK,MacBook,Grocery,3,1,2026-04-23 20:36:42.461213,1
98,2272,36.8,UK,Tablet,Electronics,1,1,2026-04-14 22:58:58.609959,0
99,1235,210.35,Brazil,iPhone,Travel,5,0,2026-05-02 01:35:38.261622,0
100,8843,388.82,India,MacBook,Grocery,4,1,2026-04-16 23:44:31.485392,1
101,8599,66.76,UK,Android,Gaming,0,0,2026-04-24 20:39:41.949796,0
102,9869,83.48,Germany,Tablet,Electronics,3,0,2026-05-01 00:18:54.310414,0
103,9688,311.29,Brazil,Tablet,Grocery,4,0,2026-04-24 04:43:03.912099,0
104,2789,25.76,Singapore,Android,Electronics,3,0,2026-05-02 17:23:38.811267,0
105,4532,68.37,Brazil,MacBook,Electronics,1,0,2026-04-22 03:54:04.124029,0
106,7537,68.99,UK,Android,Gaming,0,0,2026-04-18 19:55:01.369929,0
107,5800,31.39,Mexico,MacBook,Travel,5,1,2026-05-03 00:54:02.527423,1
108,2963,150.76,Singapore,Tablet,Travel,5,0,2026-04-12 18:59:05.285714,0
109,9530,0.41,Germany,MacBook,Restaurant,1,1,2026-04-24 03:02:55.954769,0
110,5538,22.68,USA,Tablet,Gaming,0,1,2026-04-27 07:26:48.658056,0
111,4662,134.37,UK,Tablet,Restaurant,1,0,2026-04-29 11:23:14.225437,0
112,8058,54.08,Brazil,iPhone,Electronics,1,1,2026-04-26 23:37:20.735059,0
113,9238,114.17,Mexico,MacBook,Travel,3,1,2026-04-22 23:51:41.832914,1
114,6248,42.12,Germany,Windows,Electronics,0,1,2026-04-21 15:58:07.689919,0
115,7027,122.97,Germany,Android,Travel,1,1,2026-04-19 00:29:22.997958,0
116,4063,29.42,India,Tablet,Electronics,5,1,2026-04-21 18:37:34.881543,1
117,3560,54.63,USA,Tablet,Luxury,1,0,2026-05-02 05:18:21.293504,0
118,8522,21.19,UK,iPhone,Luxury,2,1,2026-04-08 09:49:52.227952,0
119,3371,31.68,UK,MacBook,Gaming,1,1,2026-04-14 23:48:37.451097,0
120,6521,16.38,Canada,MacBook,Travel,5,1,2026-05-02 23:00:26.871645,1
121,6055,9.14,Singapore,Windows,Gaming,1,1,2026-05-02 04:37:13.805266,1
122,3672,365.45,UK,iPhone,Restaurant,0,1,2026-04-29 03:56:43.534659,0
123,5196,42.64,Mexico,Android,Restaurant,4,1,2026-04-20 12:45:40.423209,1
124,1900,236.08,Canada,Windows,Grocery,0,0,2026-04-25 02:08:34.813797,0
125,5219,287.46,UK,MacBook,Electronics,1,0,2026-04-29 08:18:27.366877,0
126,6578,137.79,India,iPhone,Gaming,0,0,2026-05-01 11:37:39.473922,0
127,9118,203.11,India,Tablet,Luxury,1,0,2026-04-15 00:03:54.570054,0
128,4781,80.04,Singapore,MacBook,Grocery,5,0,2026-04-22 11:17:58.890034,0
129,4721,16.52,Brazil,Android,Restaurant,2,0,2026-04-13 14:59:35.928271,0
130,6230,145.45,UK,MacBook,Grocery,2,0,2026-04-07 19:04:38.661940,0
131,9507,93.7,Germany,Windows,Travel,1,0,2026-05-02 22:12:19.908198,0
132,3404,98.0,Brazil,Android,Gaming,3,0,2026-04-26 13:48:50.270673,0
133,2175,160.84,Mexico,Windows,Grocery,0,1,2026-04-21 00:30:20.236263,0
134,2048,36.33,India,MacBook,Grocery,5,1,2026-04-12 14:47:47.891354,1
135,5013,4.54,UK,Android,Electronics,3,1,2026-04-18 06:03:21.482843,1
136,2239,78.76,Singapore,Windows,Gaming,2,0,2026-05-02 19:51:09.953478,0
137,2390,42.95,UK,iPhone,Travel,4,1,2026-05-06 20:36:57.933155,1
138,3829,148.65,Mexico,iPhone,Restaurant,2,1,2026-04-24 02:16:56.236384,0
139,4273,117.43,Mexico,Android,Gaming,4,1,2026-04-20 10:25:04.725239,1
140,7986,17.36,Germany,Windows,Travel,3,0,2026-04-10 00:05:38.587262,0
141,7503,182.37,India,Windows,Gaming,0,0,2026-04-19 04:26:33.729677,0
142,2161,97.87,UK,iPhone,Electronics,4,1,2026-05-02 16:49:07.057430,1
143,7319,145.48,Brazil,iPhone,Travel,5,1,2026-04-28 06:37:15.013956,1
144,3327,60.59,UK,MacBook,Travel,0,1,2026-05-06 03:07:05.663249,0
145,5703,68.1,Singapore,MacBook,Electronics,0,1,2026-04-28 04:31:01.807621,0
146,9250,39.21,Germany,Android,Luxury,2,0,2026-04-27 15:06:32.492195,0
147,7969,6.47,Mexico,iPhone,Travel,0,1,2026-04-27 02:39:42.460582,1
148,2351,151.21,Germany,MacBook,Gaming,5,0,2026-04-25 05:30:54.818877,0
149,3348,217.53,Mexico,iPhone,Electronics,5,0,2026-04-08 21:40:20.294163,0
150,1210,1.4,UK,iPhone,Luxury,5,0,2026-05-06 15:30:38.070357,0
151,5776,5.34,Canada,MacBook,Luxury,5,0,2026-04-21 06:20:49.642155,0
152,6055,60.04,India,Windows,Luxury,2,0,2026-04-28 20:30:33.284928,0
153,1013,20.58,Brazil,Windows,Luxury,4,0,2026-04-27 21:01:28.390475,0
154,4680,24.7,UK,Windows,Grocery,5,0,2026-05-03 01:39:28.397713,0
155,7726,0.24,USA,Android,Gaming,5,0,2026-04-27 22:43:15.866480,0
156,7315,35.43,Singapore,Windows,Gaming,2,1,2026-04-29 07:20:59.568722,0
157,5519,73.69,USA,MacBook,Grocery,0,1,2026-04-29 16:00:32.575243,0
158,4500,11.89,USA,iPhone,Restaurant,2,1,2026-04-25 06:40:48.446376,0
159,9500,23.51,Brazil,MacBook,Electronics,0,1,2026-05-06 20:56:58.944014,0
160,1530,47.13,UK,Tablet,Luxury,2,0,2026-04-14 07:22:39.356475,0
161,2284,85.48,India,MacBook,Travel,0,1,2026-04-25 22:13:41.066408,0
162,2936,6.28,Canada,iPhone,Electronics,4,1,2026-04-15 02:06:20.031266,1
163,2918,31.25,Mexico,Tablet,Gaming,0,0,2026-04-18 17:36:18.689689,0
164,3133,323.93,Germany,MacBook,Restaurant,5,0,2026-05-06 02:46:18.770676,0
165,1934,15.14,UK,Tablet,Electronics,0,1,2026-04-14 07:12:00.120804,0
166,6962,39.7,Mexico,Tablet,Travel,5,1,2026-05-03 17:10:52.822195,1
167,1164,193.55,Mexico,Windows,Gaming,5,1,2026-05-01 03:29:47.306507,1
168,8259,12.41,Brazil,Tablet,Luxury,2,0,2026-04-29 22:42:35.833449,0
169,7182,421.6,Germany,Tablet,Electronics,4,1,2026-05-02 19:22:59.620762,1
170,4962,207.6,Mexico,Windows,Grocery,3,0,2026-05-05 01:22:45.672832,0
171,2601,34.23,UK,Tablet,Restaurant,5,0,2026-04-30 13:05:51.695516,0
172,3180,7.82,Germany,Tablet,Gaming,3,1,2026-05-06 22:09:26.826773,1
173,6378,1.1,Germany,Android,Restaurant,3,1,2026-05-02 04:14:23.529145,1
174,8824,127.83,UK,Windows,Grocery,1,0,2026-05-03 21:51:53.469061,0
175,2881,239.09,Canada,Windows,Luxury,1,0,2026-04-25 19:38:38.406990,1
176,7284,52.07,USA,Windows,Grocery,2,0,2026-04-10 18:09:10.986173,0
177,8235,114.08,Canada,Android,Gaming,4,0,2026-04-15 08:33:57.890752,0
178,1840,43.9,Brazil,iPhone,Restaurant,5,1,2026-04-26 19:25:17.290541,1
179,1668,86.35,Brazil,Windows,Electronics,4,0,2026-04-08 20:32:32.729075,0
180,5170,12.12,UK,Tablet,Gaming,1,1,2026-04-29 02:17:26.762786,0
181,6556,309.44,Germany,Windows,Gaming,1,0,2026-05-06 11:28:30.050663,0
182,5441,33.05,USA,iPhone,Electronics,3,0,2026-04-21 12:44:24.294564,0
183,4185,316.76,Brazil,iPhone,Electronics,4,1,2026-04-26 17:46:31.629881,1
184,1986,67.44,USA,MacBook,Grocery,1,1,2026-04-13 17:53:13.415675,0
185,4319,53.25,UK,Tablet,Gaming,4,1,2026-04-28 13:43:59.341626,1
186,1566,265.29,USA,iPhone,Travel,4,0,2026-04-12 06:01:23.282835,0
187,2629,133.35,India,Windows,Restaurant,4,0,2026-04-29 18:55:50.316722,1
188,6208,103.49,Brazil,Tablet,Gaming,2,0,2026-05-03 18:36:57.815878,0
189,1217,110.14,USA,Windows,Luxury,4,1,2026-05-03 12:09:55.726448,1
190,4844,56.2,Germany,Android,Gaming,2,0,2026-04-22 15:08:13.575186,0
191,6328,14.71,Canada,MacBook,Restaurant,3,1,2026-04-25 10:04:07.973962,1
192,9998,167.17,Singapore,Android,Grocery,0,0,2026-04-20 11:37:09.114000,0
193,7488,217.14,Canada,iPhone,Luxury,3,0,2026-04-28 02:46:45.326454,1
194,9713,15.65,Canada,iPhone,Gaming,2,0,2026-04-13 20:28:29.261171,0
195,9962,39.06,India,Windows,Luxury,1,0,2026-04-07 11:09:30.376988,0
196,2704,58.51,Mexico,MacBook,Restaurant,5,0,2026-04-12 15:14:12.952288,0
197,2794,57.57,Canada,Android,Gaming,2,1,2026-05-05 05:49:43.165036,0
198,8312,262.88,India,Windows,Restaurant,4,1,2026-04-12 22:35:25.040311,1
199,4670,24.19,Canada,MacBook,Luxury,0,1,2026-04-25 06:22:32.672170,0
200,7650,220.7,Canada,iPhone,Travel,4,0,2026-04-29 08:38:05.459855,0
201,8599,4.66,Canada,MacBook,Electronics,3,1,2026-04-18 18:21:39.394447,1
202,6278,65.18,Brazil,Windows,Travel,1,1,2026-05-05 12:16:15.935413,0
203,5159,25.65,Brazil,Android,Grocery,5,1,2026-04-08 22:55:04.349779,1
204,4166,188.46,India,Android,Luxury,1,0,2026-04-14 09:09:20.744580,0
205,3632,77.56,India,iPhone,Restaurant,0,0,2026-04-15 09:57:59.206422,0
206,2303,37.12,Brazil,Windows,Luxury,2,1,2026-05-05 20:13:55.095767,0
207,7227,99.04,USA,Android,Gaming,5,0,2026-04-26 13:29:59.414634,0
208,7671,84.4,Singapore,MacBook,Restaurant,4,0,2026-04-07 14:31:18.393564,0
209,8146,282.88,UK,iPhone,Travel,2,1,2026-04-18 23:11:13.708120,1
210,3032,47.24,Brazil,iPhone,Luxury,0,0,2026-05-03 14:05:08.950951,0
211,1411,23.82,Canada,Tablet,Grocery,1,1,2026-04-10 12:29:55.848646,0
212,4450,156.76,USA,Android,Restaurant,5,1,2026-04-15 03:45:49.054961,0
213,5180,209.57,India,Tablet,Grocery,5,1,2026-04-30 15:00:40.787832,1
214,6304,71.08,Brazil,iPhone,Electronics,4,0,2026-04-15 13:06:39.828763,0
215,9804,55.92,Mexico,Tablet,Gaming,4,1,2026-05-05 12:03:16.317314,1
216,8125,43.27,Canada,Android,Luxury,3,0,2026-04-11 20:00:17.009576,0
217,3798,57.01,Brazil,Tablet,Grocery,2,0,2026-04-17 21:32:27.635096,0
218,2257,7.88,Brazil,Android,Electronics,4,1,2026-04-07 20:00:02.087373,1
219,4448,5.73,Mexico,Android,Restaurant,4,0,2026-05-03 09:33:28.901677,0
220,8150,57.66,Singapore,MacBook,Grocery,5,1,2026-04-24 19:22:14.447963,1
221,8213,35.99,Mexico,Tablet,Travel,5,0,2026-04-20 16:36:50.727085,0
222,1593,58.3,Canada,Windows,Grocery,1,0,2026-04-11 11:10:42.785203,0
223,4095,29.1,Singapore,Android,Grocery,5,1,2026-04-28 01:44:28.608917,1
224,4177,67.97,Germany,Android,Luxury,1,1,2026-04-24 05:32:54.906044,0
225,2605,26.78,India,Tablet,Gaming,1,0,2026-04-26 03:55:12.671726,0
226,8698,143.04,Mexico,Tablet,Luxury,0,0,2026-04-21 06:19:36.417284,1
227,3698,49.83,Germany,Tablet,Restaurant,2,0,2026-04-14 16:35:54.504685,0
228,7017,24.78,India,Android,Gaming,2,0,2026-04-17 05:07:03.601776,0
229,3512,73.53,USA,Android,Grocery,1,1,2026-04-18 08:25:36.452922,0
230,1429,54.25,USA,Android,Restaurant,2,1,2026-05-03 21:10:11.943405,0
231,7209,88.09,Mexico,iPhone,Gaming,2,1,2026-04-25 17:28:20.719573,0
232,8706,138.28,Mexico,iPhone,Gaming,0,0,2026-04-14 15:29:47.569416,0
233,3424,54.31,India,Tablet,Grocery,0,0,2026-04-20 22:08:04.490984,0
234,7765,239.24,USA,Windows,Restaurant,3,0,2026-05-03 15:01:09.517292,0
235,9978,194.79,Germany,Windows,Restaurant,5,1,2026-04-18 08:04:41.668566,1
236,2625,61.77,USA,Android,Luxury,5,1,2026-04-26 03:47:45.783556,0
237,7675,254.29,Singapore,Tablet,Grocery,0,0,2026-04-28 10:00:02.446729,0
238,8054,232.9,Canada,Android,Luxury,0,1,2026-04-19 01:41:11.434871,0
239,9236,209.26,Brazil,iPhone,Travel,1,0,2026-05-04 17:01:04.072561,0
240,1012,351.16,USA,Tablet,Gaming,1,1,2026-04-21 22:10:06.274755,0
241,4746,137.36,India,Tablet,Gaming,2,1,2026-04-23 05:28:37.140973,0
242,5756,110.47,India,iPhone,Gaming,0,0,2026-04-15 18:47:52.367599,0
243,4238,447.82,India,Tablet,Luxury,4,1,2026-04-11 19:55:37.923715,1
244,4956,102.58,USA,iPhone,Travel,4,1,2026-05-04 20:50:55.680440,0
245,1773,97.93,Mexico,iPhone,Gaming,2,0,2026-04-28 06:29:20.346254,0
246,5620,202.39,Germany,Tablet,Electronics,5,1,2026-04-21 12:38:00.285276,1
247,4341,329.15,UK,MacBook,Luxury,3,0,2026-04-08 16:19:42.218502,0
248,5995,67.88,Singapore,Windows,Restaurant,0,0,2026-04-18 14:31:06.545662,0
249,8066,331.28,Germany,MacBook,Electronics,2,0,2026-05-04 22:08:28.784720,0
250,1579,237.2,UK,Tablet,Electronics,0,1,2026-05-04 07:38:30.897369,0
251,7302,64.89,Germany,Tablet,Grocery,0,1,2026-04-18 09:43:45.976785,0
252,6247,159.76,Mexico,Windows,Restaurant,4,0,2026-04-11 01:46:54.508961,0
253,2002,399.32,USA,Windows,Restaurant,0,1,2026-05-03 19:52:31.518059,0
254,1455,13.94,USA,MacBook,Grocery,4,0,2026-04-10 06:32:07.869726,0
255,1041,160.84,UK,iPhone,Gaming,4,0,2026-04-16 14:07:39.404070,0
256,5113,579.85,India,Tablet,Restaurant,5,0,2026-04-25 05:09:04.084631,0
257,5902,26.02,Germany,Windows,Electronics,0,0,2026-04-19 08:43:55.617493,0
258,7342,78.07,India,iPhone,Gaming,2,1,2026-04-18 13:10:15.053774,0
259,9163,137.94,India,Android,Restaurant,1,0,2026-05-03 05:11:07.932404,0
260,7452,108.21,Germany,MacBook,Gaming,5,0,2026-05-01 21:44:54.618175,0
261,3884,27.37,Singapore,MacBook,Electronics,5,0,2026-04-28 14:40:28.710901,0
262,7171,114.16,UK,MacBook,Electronics,0,1,2026-05-02 07:57:35.208714,0
263,6146,393.25,Germany,Android,Grocery,3,1,2026-04-08 19:46:23.257127,1
264,3816,83.12,Germany,Windows,Luxury,5,0,2026-04-30 05:27:29.570830,0
265,3508,386.96,India,Android,Electronics,5,1,2026-04-08 15:52:40.621630,1
266,9905,7.53,UK,iPhone,Travel,0,1,2026-04-08 07:21:05.680574,0
267,8342,104.99,USA,Android,Grocery,3,1,2026-04-20 20:17:47.585481,1
268,9737,19.81,UK,MacBook,Grocery,3,1,2026-04-11 13:27:25.605635,1
269,5216,99.61,Germany,MacBook,Gaming,3,0,2026-04-26 12:46:18.733633,0
270,6705,67.46,Canada,iPhone,Gaming,5,0,2026-05-05 15:21:33.217758,0
271,6199,88.02,UK,iPhone,Electronics,1,0,2026-04-14 19:07:13.670681,0
272,5645,20.51,India,Android,Travel,2,0,2026-04-10 20:19:15.276064,0
273,3032,298.75,Germany,iPhone,Luxury,2,0,2026-04-08 08:45:26.010773,0
274,8235,120.96,Brazil,iPhone,Restaurant,4,1,2026-05-01 04:51:37.689419,1
275,8892,30.3,Singapore,Android,Electronics,0,1,2026-05-04 00:24:08.305254,0
276,1707,118.84,India,Windows,Luxury,2,1,2026-05-06 15:38:54.536129,0
277,9747,13.74,Germany,MacBook,Grocery,3,1,2026-04-20 12:05:56.101517,1
278,7298,1.96,UK,MacBook,Luxury,1,1,2026-04-30 09:21:03.682979,0
279,9782,4.21,Brazil,MacBook,Restaurant,3,0,2026-04-17 06:39:01.930993,0
280,8522,38.17,Brazil,Windows,Grocery,2,0,2026-04-24 09:37:50.525013,0
281,9187,13.57,Canada,Tablet,Grocery,4,1,2026-04-19 09:49:18.384633,1
282,5313,5.16,India,Tablet,Electronics,1,1,2026-04-30 22:54:07.214139,0
283,8257,64.53,Mexico,Windows,Restaurant,1,0,2026-04-21 23:17:38.356591,0
284,1572,342.99,Canada,Tablet,Gaming,4,0,2026-04-19 14:02:35.808035,0
285,5089,234.51,Canada,MacBook,Travel,4,0,2026-04-07 21:45:11.786355,0
286,3289,338.83,Germany,Android,Travel,1,0,2026-05-05 11:56:20.012925,0
287,2630,9.33,Mexico,Windows,Electronics,3,1,2026-04-22 12:38:19.384751,1
288,2746,77.0,Canada,Tablet,Grocery,1,1,2026-04-21 13:20:44.331649,0
289,3874,107.05,India,Android,Electronics,0,0,2026-04-30 17:44:18.511037,0
290,5786,187.55,Mexico,Windows,Luxury,0,0,2026-05-03 17:20:28.237571,0
291,7145,58.58,USA,Android,Luxury,5,1,2026-04-14 12:39:49.228905,0
292,7492,57.75,UK,iPhone,Restaurant,5,1,2026-05-04 00:10:46.282577,1
293,9333,202.96,UK,Windows,Gaming,4,0,2026-04-27 23:00:41.333588,0
294,4882,40.27,Mexico,Windows,Travel,4,0,2026-04-09 01:28:01.366510,0
295,3543,96.6,UK,Tablet,Grocery,3,1,2026-04-09 06:40:36.385487,1
296,8087,64.46,USA,iPhone,Travel,2,1,2026-04-18 18:22:13.035993,0
297,2934,57.17,Canada,Tablet,Travel,4,0,2026-04-07 19:42:33.958175,0
298,9196,127.66,USA,iPhone,Grocery,3,0,2026-05-03 10:13:51.461865,0
299,2179,80.6,Singapore,iPhone,Electronics,2,0,2026-05-02 19:03:05.559763,0
300,6071,14.42,Mexico,Tablet,Travel,4,0,2026-05-02 00:52:26.391942,1
301,3160,83.34,Germany,Windows,Restaurant,4,0,2026-04-30 20:33:57.250939,0
302,9923,177.44,UK,iPhone,Gaming,3,0,2026-04-25 09:36:29.596804,0
303,9195,22.57,Brazil,Tablet,Travel,3,0,2026-04-17 09:03:06.989766,0
304,1333,107.12,India,Windows,Travel,3,0,2026-05-03 02:16:14.238738,0
305,3900,6.75,Mexico,MacBook,Electronics,1,1,2026-04-26 12:17:12.308145,0
306,1199,50.08,Mexico,Windows,Restaurant,2,0,2026-04-22 00:50:45.804063,0
307,6096,56.41,Singapore,Android,Luxury,0,1,2026-04-30 21:07:00.854570,0
308,1509,267.77,Germany,Tablet,Restaurant,2,0,2026-04-20 15:46:57.040440,1
309,7429,60.29,UK,Tablet,Luxury,3,1,2026-05-06 11:25:43.934546,1
310,3405,30.01,UK,Android,Luxury,5,1,2026-04-20 00:46:40.324255,1
311,2096,100.28,Mexico,Tablet,Gaming,1,0,2026-04-25 05:21:16.400715,0
312,4313,169.14,USA,Windows,Electronics,4,1,2026-04-20 12:29:20.285311,0
313,4447,7.77,USA,Windows,Travel,3,0,2026-04-08 23:21:07.119137,1
314,9392,119.18,UK,iPhone,Gaming,5,0,2026-04-27 10:12:21.431512,0
